,CondTempCirc1,Data_EVD_Emb_1.EVD.Variables.EEV_PosPercent.Val,DscgTempCirc1,EbmpapstFan_1_Mng.ElectrInfo_EBM_1.CurrPower,EvapTempCirc1,ExtTemp,FiltPress,InvInfoCirc1.Info_MotPwr,PumpPress,SubCoolCir1,SuctSH_Circ1,UnitStatus,W_InTempUser,W_OutTempEvap,W_OutTempUser,WaterFlowMeter,timestamp
0,43.1,67.3,75.7,38.6,5.6,38.4,0.5,2.0,4.4,2.6,8.0,9.0,13.8,10.5,10.4,41.1,2020-09-02T12:49:56.788Z
1,42.6,66.7,78.3,39.1,5.7,38.6,0.5,2.0,4.4,2.5,8.1,9.0,14.1,10.7,10.6,41.1,2020-09-02T14:21:15.951Z
2,44.9,68.3,84.3,44.0,1.4,37.7,0.8,2.8,4.2,2.3,7.5,9.0,9.1,6.8,6.9,54.2,2020-08-12T23:39:09.861Z
3,44.9,68.5,84.3,43.9,1.6,37.5,0.8,2.8,4.2,2.3,7.5,9.0,9.3,7.0,7.1,54.4,2020-08-12T23:38:32.387Z
4,29.1,43.1,54.5,43.1,2.8,24.3,0.3,0.6,4.5,2.9,7.8,9.0,10.6,8.1,7.9,30.1,2020-11-04T10:16:14.819Z
5,44.9,62.5,80.6,42.1,4.4,38.1,0.5,2.1,4.3,2.3,8.2,9.0,12.8,9.9,9.9,43.8,2020-08-21T16:34:43.036Z
6,40.8,26.9,62.6,37.6,7.3,34.2,0.6,1.1,4.3,2.9,6.3,9.0,13.3,11.9,12.1,45.9,2020-09-01T19:21:27.334Z
7,35.8,66.0,63.5,30.0,5.9,28.9,1.1,1.3,4.1,2.7,7.9,9.0,13.7,12.0,12.1,65.0,2020-10-07T17:09:16.008Z
8,44.7,75.8,79.3,42.5,5.1,39.1,0.5,2.8,4.4,2.3,8.5,9.0,14.1,10.3,10.4,40.8,2020-09-02T14:26:04.275Z
9,44.6,75.6,78.6,42.5,5.3,39.0,0.5,2.8,4.4,2.4,8.4,9.0,14.1,10.4,10.5,40.7,2020-09-02T14:25:42.311Z
10,46.1,71.3,84.1,45.3,3.3,38.4,0.5,2.9,4.3,2.3,7.5,9.0,11.3,8.2,8.4,44.2,2020-08-21T14:32:50.551Z
11,46.8,71.7,84.3,44.5,3.6,38.6,0.5,2.9,4.3,2.4,7.4,9.0,11.5,8.4,8.6,44.1,2020-08-21T13:44:05.832Z
12,46.1,71.3,84.1,45.3,3.3,38.4,0.5,2.9,4.3,2.3,7.5,9.0,11.3,8.2,8.4,44.2,2020-08-21T14:32:50.551Z
13,30.6,38.8,49.2,23.7,5.0,25.5,1.1,0.6,4.1,2.5,7.2,9.0,11.7,10.8,10.7,64.8,2020-10-08T04:58:17.720Z
14,31.1,38.3,53.8,21.8,4.0,25.8,1.1,0.6,4.1,2.5,8.2,9.0,11.7,10.7,10.7,64.9,2020-10-08T07:45:36.747Z
15,37.5,74.6,63.3,31.3,2.7,27.7,1.1,2.2,4.1,3.0,8.4,9.0,11.2,9.1,9.3,64.8,2020-10-08T08:12:34.694Z
16,41.3,53.1,69.6,35.7,5.8,38.1,0.6,1.2,4.3,2.5,7.6,9.0,13.1,11.2,11.2,45.9,2020-09-01T13:28:18.250Z
17,42.2,52.5,69.2,37.3,5.3,37.8,0.6,1.2,4.3,2.5,7.9,9.0,13.0,11.1,11.0,45.7,2020-09-01T13:29:43.330Z
18,41.6,49.8,72.3,36.9,5.2,38.2,0.5,1.2,4.4,2.3,8.6,9.0,13.6,11.3,10.9,40.9,2020-09-02T13:43:58.994Z
19,42.1,49.2,72.5,37.8,5.1,38.2,0.5,1.2,4.4,2.4,8.6,9.0,13.6,11.3,10.9,40.8,2020-09-02T13:43:44.684Z
20,38.3,79.4,64.1,34.2,5.1,27.5,1.1,2.3,4.1,2.8,8.1,9.0,13.4,11.0,11.2,65.0,2020-10-08T05:07:58.180Z
21,38.3,79.0,64.4,34.3,5.2,27.5,1.1,2.3,4.1,2.8,8.0,9.0,13.4,11.0,11.2,65.2,2020-10-08T05:08:03.109Z
